id,filtered_words,features,label_index
R129,"['base', 'clearly', 'wish.', 'career', 'leave', 'human', 'tree', 'myself.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[812,2895,2913,3556,3614,4506,4687,4930,5871,8173,8238,8303,9462],[5.117993812416755,4.830311739964974,3.577548771469606,2.849310271098391,0.6753425559264385,0.691153161953081,0.6871770135734415,4.137164559405029,3.914021008090819,3.577548771469606,4.019381523748645,4.137164559405029,0.691153161953081])",1.0
R227,"['figure', 'ball', 'save', 'life', 'computer', 'population', 'top.', 'fast', 'bill', 'simply', 'box', 'partner', 'be.', 'great', 'offer', 'look', 'federal', 'want.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[116,633,750,821,1642,2059,2958,3477,3614,4110,4506,4520,4687,6083,6562,7492,7922,8135,8151,9258,9263,9462,9637,9939],[4.137164559405029,4.019381523748645,4.42484663185681,2.849310271098391,3.5085558999826545,2.6902455764687034,4.019381523748645,4.137164559405029,0.6753425559264385,3.8187108282864943,0.691153161953081,4.137164559405029,0.6871770135734415,4.607168188650764,4.830311739964974,4.42484663185681,3.8187108282864943,4.270695952029551,3.914021008090819,4.019381523748645,4.137164559405029,0.691153161953081,5.523458920524919,4.137164559405029])",1.0
F231,"['site', 'woman', 'office', 'heavy', 'similar', 'wait', 'wait', 'level.', 'blue', 'way', 'job.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,2636,4563,5477,5768,5850,5891,7046,7281,7936,8338,8344,8949,9121,9391],[0.691153161953081,2.958509563063383,5.523458920524919,4.137164559405029,8.84969326371362,3.914021008090819,0.691153161953081,4.607168188650764,4.270695952029551,0.6871770135734415,0.691153161953081,0.691153161953081,4.270695952029551,4.270695952029551,4.830311739964974,4.270695952029551])",0.0
R066,"['true', 'find', 'college', 'interview', 'avoid.', 'campaign', 'identify.', 'everyone', 'story', 'doctor.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1175,3614,4506,4687,6035,6675,6855,6944,7188,7229,7488,7510,8057,8893,9462],[5.117993812416755,0.6753425559264385,0.691153161953081,0.6871770135734415,3.383392757028649,4.607168188650764,4.270695952029551,2.849310271098391,3.914021008090819,4.830311739964974,5.523458920524919,4.270695952029551,3.7316994512968646,3.914021008090819,0.691153161953081])",1.0
F095,"['watch', 'lot', 'full', 'wind', 'tough', 'east.', 'management', 'reason', 'quite', 'hundred', 'play.', 'certain', 'lead', 'international.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,1167,1208,1241,2558,2708,2886,2944,3184,4517,4943,5175,5356,5447,5850,6056,7281,7936,8338,8897,9288],[0.691153161953081,4.830311739964974,2.7508701982851385,3.4440173788450834,4.607168188650764,3.914021008090819,5.117993812416755,4.019381523748645,2.7508701982851385,5.523458920524919,4.137164559405029,4.42484663185681,4.019381523748645,4.137164559405029,0.691153161953081,3.8187108282864943,0.6871770135734415,0.691153161953081,0.691153161953081,4.270695952029551,3.914021008090819])",0.0
R174,"['light', 'public', 'continue.', 'answer', 'interest', 'drive', 'laugh', 'response', 'almost.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[70,1140,1720,1770,2445,3614,3619,4506,4687,6221,6325,6944,7098,9462],[4.019381523748645,5.523458920524919,4.830311739964974,2.7826188965997183,4.830311739964974,0.6753425559264385,4.42484663185681,0.691153161953081,0.6871770135734415,5.117993812416755,3.8187108282864943,2.849310271098391,4.607168188650764,0.691153161953081])",1.0
R201,"['newspaper', 'southern', 'individual', 'federal', 'exactly.', 'security', 'ability', 'bring', 'safe', 'box', 'television.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[160,633,1365,1770,2634,3057,3238,3614,3681,3743,4506,4687,6219,7642,7922,8614,9462],[4.607168188650764,4.019381523748645,5.117993812416755,2.7826188965997183,4.270695952029551,4.42484663185681,4.137164559405029,0.6753425559264385,4.830311739964974,4.019381523748645,0.691153161953081,0.6871770135734415,3.172083663361442,4.019381523748645,3.8187108282864943,4.42484663185681,0.691153161953081])",1.0
R072,"['cover', 'much', 'short', 'civil', 'think', 'already', 'stuff.', 'number', 'claim', 'heart', 'true.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[524,593,594,1262,2335,2825,3614,4506,4687,5047,5493,6104,8519,8937,9462,9808],[3.8187108282864943,4.137164559405029,4.42484663185681,4.830311739964974,3.8187108282864943,4.830311739964974,0.6753425559264385,0.691153161953081,0.6871770135734415,2.7200985396183848,5.523458920524919,4.270695952029551,3.8187108282864943,4.42484663185681,0.691153161953081,4.137164559405029])",1.0
R064,"['dinner', 'rock', 'politics', 'class.', 'behavior', 'option', 'language', 'paper', 'rule', 'management', 'anything.', 'population', 'series', 'candidate', 'focus', 'along', 'analysis.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[343,574,735,1241,1716,2240,2840,3614,3931,4358,4463,4506,4687,5241,5887,6421,7066,7751,8690,9258,9462,9613],[4.270695952029551,4.270695952029551,3.8187108282864943,3.4440173788450834,4.270695952029551,4.019381523748645,3.914021008090819,0.6753425559264385,4.019381523748645,4.42484663185681,4.019381523748645,0.691153161953081,0.6871770135734415,5.117993812416755,3.914021008090819,4.607168188650764,2.849310271098391,5.117993812416755,4.42484663185681,4.019381523748645,0.691153161953081,4.270695952029551])",1.0
F037,"['dog', 'century', 'easy.', 'anyone', 'voice', 'successful', 'plant', 'sister', 'year.', 'right', 'street', 'southern', 'customer', 'glass', 'message', 'left', 'from.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,666,1256,1413,1662,1790,2715,3495,3521,3530,3684,3743,4175,5659,5850,6932,7244,7281,7517,7841,7860,7936,8338,9564],[0.691153161953081,4.270695952029551,3.125563647726549,3.8187108282864943,4.270695952029551,4.137164559405029,4.270695952029551,5.117993812416755,4.607168188650764,4.42484663185681,4.137164559405029,4.019381523748645,4.830311739964974,4.019381523748645,0.691153161953081,3.8187108282864943,3.6516567436233283,0.6871770135734415,4.830311739964974,4.42484663185681,2.849310271098391,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
